icd10,survivors,totaln,dsp,br,already_in,ais,added,borrowed,Version
S000,10111,10258,0.98566973,H,1,1,0,NA,v241119
S001,5689,5798,0.9812004,F,1,1,0,NA,v241119
S002,1099,1109,0.99098289,F,1,1,0,NA,v241119
S003,2083,2106,0.98907882,F,1,1,0,NA,v241119
S004,688,695,0.98992807,F,1,1,0,NA,v241119
S005,1203,1214,0.99093902,F,1,1,0,NA,v241119
S007,1425,1442,0.9882108,F,1,1,0,NA,v241119
S008,15459,15724,0.98314679,H,1,1,0,NA,v241119
S009,28085,28233,0.99475789,H,1,1,0,NA,v241119
S010,27952,28509,0.98046231,H,1,1,0,NA,v241119
S011,9517,9619,0.98939598,F,1,1,0,NA,v241119
S012,4495,4542,0.98965216,F,1,1,0,NA,v241119
S013,3752,3792,0.98945147,F,1,1,0,NA,v241119
S014,4957,4998,0.99179673,F,1,1,0,NA,v241119
S015,10763,10821,0.99464005,F,1,1,0,NA,v241119
S017,2633,2682,0.98173004,F,1,1,0,NA,v241119
S018,23065,23590,0.97774482,H,1,1,0,NA,v241119
S019,11307,11468,0.98596096,H,1,2,0,NA,v241119
S020,12794,13501,0.9476335,H,1,1,0,NA,v241119
S021,20638,21995,0.93830419,F,1,1,0,NA,v241119
S022,27286,27470,0.99330181,F,1,1,0,NA,v241119
S023,12627,12737,0.99136376,F,1,1,0,NA,v241119
S024,22287,22579,0.98706764,F,1,1,0,NA,v241119
S025,3771,3796,0.9934141,F,1,1,0,NA,v241119
S026,26755,26854,0.99631339,F,1,1,0,NA,v241119
S027,3330,3499,0.95170051,F,1,1,0,NA,v241119
S028,5922,6098,0.97113806,H,1,1,0,NA,v241119
S029,6555,6864,0.95498252,H,1,4,0,NA,v241119
S030,536,545,0.98348624,F,1,2,0,NA,v241119
S031,283,285,0.99298245,F,1,3,0,NA,v241119
S032,1114,1118,0.99642217,F,1,1,0,NA,v241119
S033,39,41,0.9512195,H,0,NA,0,NA,v241119
S034,127,127,1,F,1,1,0,NA,v241119
S035,151,153,0.98692811,F,1,1,0,NA,v241119
S040,245,247,0.99190283,H,1,1,0,NA,v241119
S041,120,121,0.99173552,H,1,1,0,NA,v241119
S042,91,91,1,H,1,1,0,NA,v241119
S043,80,80,1,H,1,1,0,NA,v241119
S044,116,118,0.98305082,H,1,1,0,NA,v241119
S045,594,594,1,H,1,1,0,NA,v241119
S046,53,54,0.98148149,H,1,2,0,NA,v241119
S047,34,34,1,H,1,1,0,NA,v241119
S048,86,88,0.97727275,H,1,2,0,NA,v241119
S049,97,98,0.98979592,H,1,1,0,NA,v241119
S050,1951,1964,0.99338084,F,1,1,0,NA,v241119
S051,6382,6404,0.99656463,F,1,1,0,NA,v241119
S052,2633,2646,0.99508691,F,1,1,0,NA,v241119
S053,1638,1646,0.99513972,F,1,1,0,NA,v241119
S054,839,843,0.99525505,F,1,1,0,NA,v241119
S055,2020,2025,0.99753088,F,1,1,0,NA,v241119
S056,2381,2388,0.9970687,F,1,2,0,NA,v241119
S057,102,106,0.96226418,F,1,2,0,NA,v241119
S058,2178,2194,0.99270737,F,1,1,0,NA,v241119
S059,1436,1444,0.99445981,F,1,2,0,NA,v241119
S060,197661,198951,0.99351597,H,1,1,0,NA,v241119
S061,1939,2658,0.72949588,H,1,4,0,NA,v241119
S062,13800,15687,0.8797093,H,1,3,0,NA,v241119
S063,13254,14526,0.91243285,H,1,2,0,NA,v241119
S064,6159,6550,0.94030535,H,1,1,0,NA,v241119
S065,28367,33843,0.83819401,H,1,4,0,NA,v241119
S066,11532,13724,0.84027982,H,1,3,0,NA,v241119
S067,232,322,0.72049689,H,1,3,0,NA,v241119
S068,5335,6522,0.81800061,H,1,2,0,NA,v241119
S069,24867,26007,0.95616567,H,1,3,0,NA,v241119
S070,87,88,0.98863637,F,1,2,0,NA,v241119
S071,58,66,0.87878788,H,1,5,0,NA,v241119
S078,28,30,0.93333334,H,1,5,0,NA,v241119
S079,94,98,0.95918369,H,1,1,0,NA,v241119
S080,170,172,0.98837209,H,1,1,0,NA,v241119
S081,332,333,0.996997,F,1,2,0,NA,v241119
S088,55,57,0.9649123,H,1,2,0,NA,v241119
S089,21,22,0.95454544,H,0,NA,0,NA,v241119
S090,1035,1054,0.98197341,H,1,1,0,NA,v241119
S091,271,271,1,H,1,1,0,NA,v241119
S092,1000,1005,0.99502486,F,1,1,0,NA,v241119
S097,647,699,0.92560804,F,1,2,0,NA,v241119
